arcid,from,to
1,1,2
2,3,2
3,2,4
4,4,5
5,6,5
6,7,8
7,9,8
8,8,10
9,11,10
10,10,12
11,5,12
12,12,13
13,14,15
14,16,15
15,13,17
16,17,18
17,19,20
18,15,20
19,21,22
20,18,22
21,23,24
22,25,24
23,22,26
24,27,28
25,20,28
26,29,30
27,31,32
28,30,32
29,26,33
30,34,35
31,36,37
32,38,39
33,32,39
34,40,37
35,41,40
36,42,43
37,44,34
38,39,44
39,45,46
40,24,47
41,46,47
42,28,48
43,33,48
44,37,46
45,43,40
46,49,50
47,51,52
48,50,52
49,53,54
50,47,54
51,55,50
52,48,56
53,35,57
54,58,56
55,59,30
56,60,58
57,54,61
58,57,60
59,62,61
60,63,64
61,65,66
62,64,65
63,66,43
64,56,67
65,68,60
66,61,69
67,52,70
68,71,70
69,72,73
70,70,73
71,74,63
72,67,74
73,75,66
74,69,76
75,77,59
76,78,79
77,73,80
78,81,44
79,80,82
80,83,80
81,84,85
82,85,83
83,86,87
84,88,87
85,89,85
86,76,90
87,79,90
88,91,92
89,92,83
90,93,79
91,94,93
92,95,93
93,96,77
94,90,97
95,98,92
96,99,97
97,100,99
98,101,96
99,102,98
100,97,103
101,104,58
102,105,102
103,106,98
104,103,107
105,108,109
106,109,102
107,107,110
108,111,112
109,113,112
110,110,114
111,115,96
112,116,99
113,117,116
114,118,109
115,119,113
116,120,119
117,121,116
118,122,121
119,123,118
120,114,123
121,124,113
122,125,101
123,126,127
124,112,128
125,129,101
126,130,131
127,131,118
128,132,133
129,134,121
130,135,134
131,133,136
132,128,137
133,138,131
134,139,140
135,141,140
136,140,142
137,142,132
138,143,108
139,144,108
140,145,138
141,136,146
142,146,145
143,147,134
144,137,147
145,148,128
146,149,142
147,150,147
148,151,150
149,152,146
150,153,150
151,154,153
152,155,145
153,156,127
154,157,137
155,158,152
156,159,152
157,160,153
158,161,160
159,162,161
160,163,159
161,164,138
162,165,166
163,167,166
164,166,161
165,168,163
166,169,170
167,171,168
168,172,173
169,173,171
170,174,170
171,175,174
172,176,173
173,170,176
174,177,171
175,178,159
176,179,176
177,180,177
178,181,160
179,182,174
180,183,180
181,184,183
182,185,182
183,186,179
184,187,184
185,188,187
186,189,182
187,190,179
188,194,193
189,195,194
190,196,197
191,198,197
192,199,194
193,200,195
194,197,201
195,202,200
196,201,203
197,204,205
198,203,205
199,206,201
200,207,202
201,208,207
202,209,203
203,210,208
204,205,211
205,211,210
206,212,211
207,213,212
208,214,213
209,215,213
210,216,215
211,217,216
212,218,212
213,219,218
214,220,219
215,221,216
216,222,220
217,223,215
218,224,218
219,225,219
220,226,220
221,127,119
222,227,228
223,87,228
224,229,230
225,228,230
226,231,232
227,230,232
228,232,110
229,233,187
230,234,233
231,191,234
232,235,233
233,192,234
234,193,235
